Tumor_Sample_Barcode	PLATFORM	oncotree_parent	oncotree_detailed	Variant_Classification
00-010	exome	prad	prad	Silent
00-029	exome	prad	prad	Missense_Mutation
00-090	exome	prad	prad	Missense_Mutation
00-140	exome	prad	prad	Missense_Mutation
000236	exome	saca	acyc	Missense_Mutation
000380	exome	saca	acyc	Nonsense_Mutation
000410	exome	saca	acyc	Missense_Mutation
000479	exome	saca	acyc	Missense_Mutation
000505	exome	saca	acyc	Nonsense_Mutation
000540	exome	saca	acyc	Missense_Mutation
000609	exome	saca	acyc	Missense_Mutation
000705	exome	saca	acyc	Missense_Mutation
001346	exome	saca	acyc	Missense_Mutation
001739	exome	saca	acyc	Missense_Mutation
001781	exome	saca	acyc	Missense_Mutation
001947	exome	saca	acyc	Missense_Mutation
002012	exome	saca	acyc	Nonsense_Mutation
002020	exome	saca	acyc	Missense_Mutation
002039	exome	saca	acyc	Missense_Mutation
002128	exome	saca	acyc	Missense_Mutation
002237	exome	saca	acyc	Missense_Mutation
002238	exome	saca	acyc	Missense_Mutation
006536	exome	saca	acyc	Missense_Mutation
007097	exome	saca	acyc	Missense_Mutation
007136	exome	saca	acyc	Missense_Mutation
007441	exome	saca	acyc	Missense_Mutation
01-087	exome	prad	prad	Missense_Mutation
01-095	exome	prad	prad	Missense_Mutation
01-120	exome	prad	prad	Silent
01-P034	exome	es	es	Missense_Mutation
01-P1216	exome	es	es	Nonsense_Mutation
01-P131	exome	es	es	Silent
01-P459	exome	es	es	Missense_Mutation
01-P8014	exome	es	es	Silent
02-065	exome	prad	prad	Missense_Mutation
02-083	exome	prad	prad	Silent
02-P170	exome	es	es	Missense_Mutation
03-027	exome	prad	prad	Missense_Mutation
03-081	exome	prad	prad	Missense_Mutation
03-082	exome	prad	prad	Missense_Mutation
03-130	exome	prad	prad	Missense_Mutation
03-139	exome	prad	prad	Silent
03-163	exome	prad	prad	Missense_Mutation
03-192	exome	prad	prad	Missense_Mutation
03-P1004	exome	es	es	Missense_Mutation
03-P152	exome	es	es	Silent
04-050	exome	prad	prad	Missense_Mutation
04-101	exome	prad	prad	Missense_Mutation
04-112	exome	prad	prad	Splice_Site
04-149	exome	prad	prad	Missense_Mutation
05-011	exome	prad	prad	Nonsense_Mutation
05-092	exome	prad	prad	Nonsense_Mutation
05-116	exome	prad	prad	Silent
05-123	exome	prad	prad	Silent
05-144	exome	prad	prad	Missense_Mutation
05-148	exome	prad	prad	Missense_Mutation
05-165	exome	prad	prad	Missense_Mutation
05-187	exome	prad	prad	Missense_Mutation
05-214	exome	prad	prad	Silent
05-217	exome	prad	prad	Missense_Mutation
05-221	exome	prad	prad	Missense_Mutation
05-P103	exome	es	es	Missense_Mutation
05-P8014	exome	es	es	Missense_Mutation
05-P8068	exome	es	es	Missense_Mutation
05_6986	exome	saca	acyc	Nonsense_Mutation
06-081	exome	prad	prad	Missense_Mutation
06-134	exome	prad	prad	Missense_Mutation
06-P036	exome	es	es	Silent
